Stkcd,Accper,Source,CR,CaR,DER,DAR
2594,2008/12/31,1,1.039305,0.121874,1.439143,0.59002
2594,2009/12/31,1,0.944695,0.129537,1.125706,0.529568
2594,2010/12/31,1,0.639527,0.072095,1.504052,0.600647
2594,2011/3/31,1,0.626165,0.12883,1.669938,0.625459
2594,2011/6/30,0,0.641231,0.15372,1.670449,0.625531
2594,2011/9/30,0,0.644632,0.114207,1.729346,0.633612
2594,2011/12/31,0,0.64859,0.113143,1.736615,0.634585
2594,2012/3/31,0,0.632328,0.133924,1.757074,0.637297
2594,2012/6/30,0,0.663496,0.149143,1.787395,0.641242
2594,2012/9/30,0,0.634116,0.111834,1.806301,0.643659
2594,2012/12/31,0,0.614293,0.097655,1.845818,0.648607
2594,2013/3/31,0,0.617029,0.092025,1.849589,0.649072
2594,2013/6/30,0,0.625028,0.105141,1.922938,0.657878
2594,2013/9/30,0,0.691152,0.146206,2.061146,0.673325
2594,2013/12/31,0,0.68182,0.113729,2.073365,0.674624
2594,2014/3/31,0,0.754309,0.114547,2.095109,0.67691
2594,2014/6/30,0,0.823167,0.185472,2.025139,0.669437
2594,2014/9/30,0,0.792359,0.118084,2.112258,0.67869
2594,2014/12/31,0,0.768228,0.077128,2.253528,0.692641
2594,2015/3/31,0,0.746822,0.089079,2.173712,0.684912
2594,2015/6/30,0,0.767057,0.069496,2.237368,0.691107
2594,2015/9/30,0,0.798263,0.076571,2.269832,0.694174
2594,2015/12/31,0,0.832854,0.096118,2.205334,0.68802
2594,2016/3/31,0,0.807645,0.05765,2.042174,0.671288
2594,2016/6/30,0,0.803756,0.070901,2.138541,0.681381
2594,2016/9/30,0,1.056766,0.109745,1.451399,0.59207
2594,2016/12/31,0,1.015776,0.095535,1.618164,0.618053
2594,2017/3/31,0,1.078343,0.122591,1.597526,0.615018
2594,2017/6/30,0,1.083579,0.108457,1.68913,0.628133
2594,2017/9/30,0,1.005668,0.092703,1.797885,0.642587
2594,2017/12/31,0,0.991876,0.086317,1.970429,0.663348
2594,2018/3/31,0,0.949763,0.06965,2.027315,0.669674
2594,2018/6/30,0,0.940058,0.084238,2.222278,0.689661
2594,2018/9/30,0,0.973793,0.115155,2.210092,0.688482
2594,2018/12/31,0,1.004326,0.097207,2.205772,0.688063
2594,2019/3/31,0,1.03656,0.112414,2.199352,0.687437
2594,2019/6/30,0,1.039377,0.088542,2.212718,0.688737
2594,2019/9/30,0,1.042226,0.089063,2.172964,0.684837
2594,2019/12/31,0,1.007173,0.109923,2.125194,0.68002
2594,2020/3/31,0,1.022523,0.116818,2.049091,0.672033
2594,2020/6/30,0,1.09373,0.127815,1.940455,0.659917
2594,2020/9/30,0,1.099836,0.125737,1.900091,0.655183
2594,2020/12/31,0,1.068073,0.131479,2.118776,0.679361
2594,2021/3/31,0,1.264285,0.27904,1.514522,0.60231
2594,2021/6/30,0,1.170848,0.191729,1.496434,0.599429
2594,2021/9/30,0,1.043075,0.234402,1.762153,0.637964
2594,2021/12/31,0,0.969681,0.290827,1.837377,0.647562
2594,2022/3/31,0,0.932408,0.224421,2.009093,0.667674
2594,2022/6/30,0,0.851845,0.192873,2.256231,0.692897
2594,2022/9/30,0,0.767465,0.14768,2.786557,0.735908
2594,2022/12/31,0,0.722386,0.153542,3.068385,0.754202
2594,2023/3/31,0,0.686823,0.146833,3.339166,0.769541
2594,2023/6/30,0,0.65894,0.196261,3.533191,0.779405
2594,2023/9/30,0,0.656209,0.131813,3.418355,0.773671
2594,2023/12/31,0,0.665955,0.239188,3.516404,0.778585
2594,2024/3/31,0,0.659551,0.194061,3.374292,0.771392
2594,2024/6/30,0,0.659164,0.119773,3.438522,0.7747
2594,2024/9/30,0,0.707097,0.128511,3.527531,0.779129
2594,2024/12/31,0,0.747144,0.206169,2.942639,0.746363
2594,2025/3/31,0,0.81059,0.229773,2.414534,0.707134
2594,2025/6/30,0,0.760945,0.213725,2.457986,0.710814
2714,2010/12/31,1,1.001997,0.349473,1.190875,0.543561
2714,2011/12/31,1,1.150114,0.143757,1.042598,0.510428
2714,2012/12/31,1,1.085079,0.267722,1.083526,0.520044
2714,2013/6/30,1,0.949923,0.269239,1.959377,0.662091
2714,2013/12/31,0,0.909742,0.124875,1.57357,0.611435
2714,2014/3/31,0,1.379094,0.44735,0.975153,0.49371
2714,2014/6/30,0,1.241162,0.40845,1.058057,0.514105
2714,2014/9/30,0,1.105758,0.211714,1.081875,0.519664
2714,2014/12/31,0,0.915643,0.185442,1.11439,0.52705
2714,2015/3/31,0,0.793072,0.201575,1.246697,0.554902
2714,2015/6/30,0,0.724179,0.181297,1.608219,0.616597
2714,2015/9/30,0,0.674266,0.181344,1.540552,0.606385
2714,2015/12/31,0,0.870298,0.238707,1.006678,0.501664
2714,2016/3/31,0,0.759082,0.159837,1.05789,0.514065
2714,2016/6/30,0,0.640842,0.123452,1.018311,0.504536
2714,2016/9/30,0,0.741294,0.196753,1.141627,0.533065
2714,2016/12/31,0,0.715866,0.149666,1.284102,0.562191
2714,2017/3/31,0,0.645257,0.118954,1.31435,0.567913
2714,2017/6/30,0,1.001746,0.257755,0.908041,0.475902
2714,2017/9/30,0,0.850717,0.200423,0.952282,0.487779
2714,2017/12/31,0,1.050359,0.501681,0.887836,0.470293
2714,2018/3/31,0,0.92564,0.253133,1.06549,0.515853
2714,2018/6/30,0,0.747673,0.093269,1.159767,0.536987
2714,2018/9/30,0,0.80475,0.117781,1.249534,0.555464
2714,2018/12/31,0,0.719822,0.176593,1.177025,0.540658
2714,2019/3/31,0,0.681713,0.139749,1.365073,0.57718
2714,2019/6/30,0,0.583959,0.084465,1.326174,0.57011
2714,2019/9/30,0,0.842703,0.213935,0.858397,0.461902
2714,2019/12/31,0,1.078331,0.547698,0.667738,0.400385
2714,2020/3/31,0,1.23175,0.783334,0.734568,0.423488
2714,2020/6/30,0,1.154813,0.730917,0.830569,0.453722
2714,2020/9/30,0,1.142285,0.638055,0.764936,0.433407
2714,2020/12/31,0,0.894429,0.319427,0.855031,0.460925
2714,2021/3/31,0,0.841174,0.167315,0.92562,0.480687
2714,2021/6/30,0,0.644537,0.082622,1.131803,0.530914
2714,2021/9/30,0,0.709717,0.128546,1.36799,0.577701
2714,2021/12/31,0,0.623184,0.107466,1.583894,0.612987
2714,2022/3/31,0,0.598288,0.116909,1.872192,0.651834
2714,2022/6/30,0,0.573507,0.071222,1.983474,0.66482
2714,2022/9/30,0,0.655866,0.113431,1.595076,0.614655
2714,2022/12/31,0,0.800571,0.229128,1.190834,0.543553
2714,2023/3/31,0,0.794139,0.23589,1.291914,0.563683
2714,2023/6/30,0,0.710266,0.169419,1.503662,0.600585
2714,2023/9/30,0,0.702164,0.157121,1.478351,0.596506
2714,2023/12/31,0,0.671703,0.145537,1.639295,0.621111
2714,2024/3/31,0,0.663278,0.157217,1.746466,0.635896
2714,2024/6/30,0,0.682655,0.159258,1.618332,0.618078
2714,2024/9/30,0,0.748901,0.185666,1.402847,0.583827
2714,2024/12/31,0,0.717374,0.15027,1.420143,0.586801
2714,2025/3/31,0,0.796113,0.209963,1.45093,0.591992
2714,2025/6/30,0,0.793308,0.203758,1.275666,0.560568
600030,1999/12/31,1,1.309201,0.904532,2.695534,0.729403
600030,2000/12/31,1,1.166766,1.0006,4.865909,0.829523
600030,2001/12/31,1,1.172643,0.992475,4.611562,0.821796
600030,2002/6/30,1,1.197916,0.92376,3.90878,0.796283
600030,2002/12/31,0,1.245984,0.679971,2.643636,0.725549
600048,2003/12/31,1,2.090398,0.226011,2.44337,0.709587
600048,2004/12/31,1,1.769518,0.108966,4.375986,0.813988
600048,2005/12/31,1,1.413663,0.127592,5.66254,0.849907
600048,2006/6/30,0,1.627346,0.130351,6.382619,0.864547
600048,2006/9/30,0,1.852151,0.230021,3.020454,0.751272
600048,2006/12/31,0,1.837312,0.103852,3.117178,0.757115
600048,2007/3/31,0,1.666807,0.081691,3.580719,0.781694
600048,2007/6/30,0,1.675403,0.137861,3.915324,0.796555
600048,2007/9/30,0,2.141414,0.445896,2.188814,0.686404
600048,2007/12/31,0,2.14816,0.244629,2.186315,0.686158
600048,2008/3/31,0,2.219894,0.100461,2.548542,0.718194
600048,2008/6/30,0,2.464457,0.188434,2.356576,0.702077
600048,2008/9/30,0,2.596188,0.232175,2.751258,0.733423
600048,2008/12/31,0,2.726723,0.280289,2.421915,0.707766
600048,2009/3/31,0,2.621704,0.289842,2.559033,0.719025
600048,2009/6/30,0,2.13216,0.323011,2.691959,0.729141
600048,2009/9/30,0,2.067175,0.439486,2.190319,0.686552
600048,2009/12/31,0,2.314826,0.398286,2.331809,0.699863
600048,2010/3/31,0,2.331292,0.301821,2.992776,0.749548
600048,2010/6/30,0,2.454044,0.259697,3.305425,0.767735
600048,2010/9/30,0,2.335833,0.242401,3.743365,0.789179
600048,2010/12/31,0,2.128864,0.277683,3.757227,0.789793
600048,2011/3/31,0,2.008095,0.188995,4.377643,0.814045
600048,2011/6/30,0,1.932425,0.194288,4.287957,0.810891
600048,2011/9/30,0,1.877121,0.217657,4.191848,0.80739
600048,2011/12/31,0,1.906878,0.18413,3.636094,0.784301
600048,2012/3/31,0,1.858819,0.168127,3.743787,0.789198
600048,2012/6/30,0,1.821815,0.218798,3.911141,0.796381
600048,2012/9/30,0,1.695065,0.261038,4.104384,0.80409
600048,2012/12/31,0,1.730804,0.231934,3.585082,0.781901
600048,2013/3/31,0,1.738269,0.235267,3.842561,0.793498
600048,2013/6/30,0,1.723718,0.217416,3.821844,0.79261
600048,2013/9/30,0,1.779974,0.207063,4.049529,0.801962
600048,2013/12/31,0,1.818399,0.198711,3.539775,0.779725
600048,2014/3/31,0,1.882023,0.192496,3.787763,0.791134
600048,2014/6/30,0,1.869088,0.209487,3.891339,0.795557
600048,2014/9/30,0,1.889721,0.187803,4.082304,0.803239
600048,2014/12/31,0,1.873106,0.210086,3.522756,0.778896
600048,2015/3/31,0,1.961862,0.192042,3.518084,0.778667
600048,2015/6/30,0,1.808693,0.189743,3.437598,0.774653
600048,2015/9/30,0,1.733269,0.187791,3.504555,0.778002
600048,2015/12/31,0,1.73407,0.166553,3.157212,0.759454
600048,2016/3/31,0,1.813817,0.190059,3.237759,0.764026
600048,2016/6/30,0,1.772993,0.198217,2.977833,0.748607
600048,2016/9/30,0,1.733103,0.207033,2.934507,0.745839
600048,2016/12/31,0,1.734965,0.186288,2.962651,0.747644
600048,2017/3/31,0,1.812999,0.227004,3.239862,0.764143
600048,2017/6/30,0,1.758294,0.210364,3.723279,0.788283
600048,2017/9/30,0,1.779395,0.197464,3.984803,0.79939
600048,2017/12/31,0,1.780292,0.186618,3.401246,0.772792
600048,2018/3/31,0,1.846388,0.187889,3.639797,0.784473
600048,2018/6/30,0,1.784804,0.225737,3.834761,0.793165
600048,2018/9/30,0,1.772693,0.215753,3.968054,0.798714
600048,2018/12/31,0,1.722829,0.254161,3.538979,0.779686
600048,2019/3/31,0,1.777412,0.277069,3.749144,0.789436
600048,2019/6/30,0,1.658951,0.237764,3.824278,0.792715
600048,2019/9/30,0,1.633699,0.212589,3.91263,0.796443
600048,2019/12/31,0,1.562317,0.231739,3.501567,0.777855
