Stkcd,Accper,bes
2594,2011/6/30,0.12
2594,2011/9/30,0.1531
2594,2011/12/31,0.6
2594,2012/3/31,0.01
2594,2012/6/30,0.01
2594,2012/9/30,0.0089
2594,2012/12/31,0.03
2594,2013/3/31,0.05
2594,2013/6/30,0.18
2594,2013/9/30,0.1976
2594,2013/12/31,0.23
2594,2014/3/31,0.01
2594,2014/6/30,0.15
2594,2014/9/30,0.1624
2594,2014/12/31,0.18
2594,2015/3/31,0.05
2594,2015/6/30,0.19
2594,2015/9/30,0.7873
2594,2015/12/31,1.12
2594,2016/3/31,0.32
2594,2016/6/30,0.87
2594,2016/9/30,1.3835
2594,2016/12/31,1.88
2594,2017/3/31,0.2
2594,2017/6/30,0.59
2594,2017/9/30,0.96
2594,2017/12/31,1.4
2594,2018/3/31,0.02
2594,2018/6/30,0.13
2594,2018/9/30,0.49
2594,2018/12/31,0.93
2594,2019/3/31,0.25
2594,2019/6/30,0.49
2594,2019/9/30,0.51
2594,2019/12/31,0.5
2594,2020/3/31,0.02
2594,2020/6/30,0.56
2594,2020/9/30,1.18
2594,2020/12/31,1.47
2594,2021/3/31,0.08
2594,2021/6/30,0.41
2594,2021/9/30,0.85
2594,2021/12/31,1.06
2594,2022/3/31,0.28
2594,2022/6/30,1.24
2594,2022/9/30,3.2
2594,2022/12/31,5.71
2594,2023/3/31,1.42
2594,2023/6/30,3.77
2594,2023/9/30,7.35
2594,2023/12/31,10.32
2594,2024/3/31,1.57
2594,2024/6/30,4.68
2594,2024/9/30,8.68
2594,2024/12/31,13.84
2594,2025/3/31,3.12
2594,2025/6/30,1.71
2714,2013/12/31,1.43
2714,2014/3/31,-0.26
2714,2014/6/30,-0.34
2714,2014/9/30,0.01
2714,2014/12/31,0.33
2714,2015/3/31,-0.08
2714,2015/6/30,0.1
2714,2015/9/30,0.58
2714,2015/12/31,1.23
2714,2016/3/31,0.71
2714,2016/6/30,2.07
2714,2016/9/30,1.7
2714,2016/12/31,2.25
2714,2017/3/31,0.66
2714,2017/6/30,1.12
2714,2017/9/30,1.64
2714,2017/12/31,2.12
2714,2018/3/31,0.12
2714,2018/6/30,-0.04
2714,2018/9/30,0.17
2714,2018/12/31,0.17
2714,2019/3/31,-0.26
2714,2019/6/30,-0.07
2714,2019/9/30,0.66
2714,2019/12/31,2.82
2714,2020/3/31,1.87
2714,2020/6/30,2.93
2714,2020/9/30,5.7
2714,2020/12/31,7.46
2714,2021/3/31,1.89
2714,2021/6/30,1.82
2714,2021/9/30,1.66
2714,2021/12/31,1.28
2714,2022/3/31,-0.99
2714,2022/6/30,-1.28
2714,2022/9/30,0.29
2714,2022/12/31,2.49
2714,2023/3/31,-0.22
2714,2023/6/30,-0.52
2714,2023/9/30,-0.34
2714,2023/12/31,-0.79
2714,2024/3/31,-0.44
2714,2024/6/30,0.15
2714,2024/9/30,1.94
2714,2024/12/31,3.3
2714,2025/3/31,0.83
2714,2025/6/30,1.96
600030,2007/3/31,0.42
600030,2007/6/30,1.41
600030,2007/9/30,2.77
600030,2007/12/31,4.01
600030,2008/3/31,0.76
600030,2008/6/30,0.72
600030,2008/9/30,0.89
600030,2008/12/31,1.1
600030,2009/3/31,0.23
600030,2009/6/30,0.58
600030,2009/9/30,0.95
600030,2009/12/31,1.35
600030,2010/3/31,0.23
600030,2010/6/30,0.26
600030,2010/9/30,0.4
600030,2010/12/31,1.14
600030,2011/3/31,0.14
600030,2011/6/30,0.3
600030,2011/9/30,0.34
600030,2011/12/31,1.23
600030,2012/3/31,0.08
600030,2012/6/30,0.2
600030,2012/9/30,0.27
600030,2012/12/31,0.38
600030,2013/3/31,0.09
600030,2013/6/30,0.19
600030,2013/9/30,0.34
600030,2013/12/31,0.48
600030,2014/3/31,0.12
600030,2014/6/30,0.37
600030,2014/9/30,0.58
600030,2014/12/31,1.03
600030,2015/3/31,0.35
600030,2015/6/30,1.13
600030,2015/9/30,1.4
600030,2015/12/31,1.71
600030,2016/3/31,0.14
600030,2016/6/30,0.43
600030,2016/9/30,0.66
600030,2016/12/31,0.86
600030,2017/3/31,0.19
600030,2017/6/30,0.41
600030,2017/9/30,0.65
600030,2017/12/31,0.94
600030,2018/3/31,0.22
600030,2018/6/30,0.46
600030,2018/9/30,0.6
600030,2018/12/31,0.77
600030,2019/3/31,0.35
600030,2019/6/30,0.53
600030,2019/9/30,0.87
600030,2019/12/31,1.01
600030,2020/3/31,0.32
600030,2020/6/30,0.7
600030,2020/9/30,0.99
600030,2020/12/31,1.16
600030,2021/3/31,0.4
600030,2021/6/30,0.94
600030,2021/9/30,1.36
600030,2021/12/31,1.77
600030,2022/3/31,0.36
600030,2022/6/30,0.76
600030,2022/9/30,1.11
600030,2022/12/31,1.42
600030,2023/3/31,0.36
600030,2023/6/30,0.75
600030,2023/9/30,1.08
600030,2023/12/31,1.3
600030,2024/3/31,0.32
600030,2024/6/30,0.69
600030,2024/9/30,1.09
600030,2024/12/31,1.41
600030,2025/3/31,0.42
600030,2025/6/30,0.89
600048,2007/3/31,0.07
600048,2007/6/30,0.25
600048,2007/9/30,0.5
600048,2007/12/31,1.3
600048,2008/3/31,0.11
600048,2008/6/30,0.42
600048,2008/9/30,0.52
600048,2008/12/31,0.91
600048,2009/3/31,0.13
600048,2009/6/30,0.44
600048,2009/9/30,0.55
600048,2009/12/31,1.06
600048,2010/3/31,0.16
600048,2010/6/30,0.36
600048,2010/9/30,0.5
600048,2010/12/31,1.08
600048,2011/3/31,0.15
600048,2011/6/30,0.47
600048,2011/9/30,0.58
600048,2011/12/31,1.1
600048,2012/3/31,0.09
600048,2012/6/30,0.35
600048,2012/9/30,0.54
600048,2012/12/31,1.18
600048,2013/3/31,0.1
600048,2013/6/30,0.48
600048,2013/9/30,0.65
600048,2013/12/31,1.51
600048,2014/3/31,0.11
600048,2014/6/30,0.36
600048,2014/9/30,0.57
600048,2014/12/31,1.14
600048,2015/3/31,0.12
600048,2015/6/30,0.46
600048,2015/9/30,0.6
600048,2015/12/31,1.15
600048,2016/3/31,0.13
600048,2016/6/30,0.46
600048,2016/9/30,0.64
600048,2016/12/31,1.1
600048,2017/3/31,0.16
600048,2017/6/30,0.48
600048,2017/9/30,0.7
600048,2017/12/31,1.32
600048,2018/3/31,0.16
600048,2018/6/30,0.55
600048,2018/9/30,0.81
600048,2018/12/31,1.59
600048,2019/3/31,0.2
600048,2019/6/30,0.84
600048,2019/9/30,1.08
600048,2019/12/31,2.35
600048,2020/3/31,0.2
600048,2020/6/30,0.85
600048,2020/9/30,1.11
600048,2020/12/31,2.42
600048,2021/3/31,0.21
600048,2021/6/30,0.86
600048,2021/9/30,1.13
600048,2021/12/31,2.29
600048,2022/3/31,0.21
600048,2022/6/30,0.9
600048,2022/9/30,1.09
600048,2022/12/31,1.53
600048,2023/3/31,0.23
600048,2023/6/30,1.02
600048,2023/9/30,1.11
600048,2023/12/31,1.01
600048,2024/3/31,0.19
600048,2024/6/30,0.62
600048,2024/9/30,0.66
600048,2024/12/31,0.42
600048,2025/3/31,0.16
600048,2025/6/30,0.23
600754,2007/3/31,0.09
600754,2007/6/30,0.22
600754,2007/9/30,0.32
600754,2007/12/31,0.4373
600754,2008/3/31,0.11
600754,2008/6/30,0.27
600754,2008/9/30,0.359
