Stkcd,Accper,TTM,ROCA,ROE
2594,2008/12/31,,,
2594,2008/12/31,,,
2594,2009/12/31,,,
2594,2009/12/31,,,
2594,2010/12/31,,,
2594,2010/12/31,,,
2594,2011/3/31,0.009006,0.005879,0.015213
2594,2011/3/31,0.000301,-0.002279,-0.005763
2594,2011/6/30,0.014909,0.006916,0.017916
2594,2011/6/30,0.001592,-0.004451,-0.010471
2594,2011/9/30,0.020626,0.008858,0.02322
2594,2011/9/30,-0.000926,-0.009748,-0.02367
2594,2011/12/31,0.042142,0.026901,0.070686
2594,2011/12/31,0.072531,0.06641,0.162209
2594,2012/3/31,0.004794,0.000813,0.002232
2594,2012/3/31,0.000915,-0.001293,-0.003412
2594,2012/6/30,0.008454,0.001572,0.004341
2594,2012/6/30,0.001544,-0.004034,-0.010893
2594,2012/9/30,0.012232,0.002088,0.005787
2594,2012/9/30,0.001679,-0.007577,-0.021775
2594,2012/12/31,-0.001491,0.00317,0.008847
2594,2012/12/31,0.015409,0.003602,0.011332
2594,2013/3/31,0.006201,0.00226,0.006436
2594,2013/3/31,0.003424,0.001241,0.004565
2594,2013/6/30,0.016358,0.007622,0.021989
2594,2013/6/30,0.007228,0.000874,0.003028
2594,2013/9/30,0.021552,0.008646,0.025546
2594,2013/9/30,0.010691,0.00033,0.001194
2594,2013/12/31,0.027461,0.010694,0.031667
2594,2013/12/31,0.019134,0.002721,0.00972
2594,2014/3/31,0.005692,0.001139,0.003514
2594,2014/3/31,0.009534,0.000991,0.003238
2594,2014/6/30,0.015616,0.00682,0.02099
2594,2014/6/30,0.015627,0.000754,0.002211
2594,2014/9/30,0.020533,0.007391,0.023093
2594,2014/9/30,0.022229,0.000138,0.000411
2594,2014/12/31,0.026311,0.008602,0.02753
2594,2014/12/31,0.028238,0.000041,0.000124
2594,2015/3/31,0.006514,0.001646,0.00529
2594,2015/3/31,0.016272,0.009453,0.025625
2594,2015/6/30,0.015419,0.006596,0.021406
2594,2015/6/30,0.01406,0.002084,0.005748
2594,2015/9/30,0.037685,0.021753,0.070961
2594,2015/9/30,0.058718,0.029852,0.081432
2594,2015/12/31,0.050035,0.02996,0.096673
2594,2015/12/31,0.064136,0.028604,0.074705
2594,2016/3/31,0.012601,0.007885,0.024623
2594,2016/3/31,0.005825,0.000081,0.000195
2594,2016/6/30,0.030911,0.020817,0.066003
2594,2016/6/30,0.013208,0.001494,0.00371
2594,2016/9/30,0.046836,0.031848,0.087615
2594,2016/9/30,0.01801,0.002305,0.004465
2594,2016/12/31,0.0598,0.042064,0.119862
2594,2016/12/31,0.024884,0.005102,0.010026
2594,2017/3/31,0.009619,0.005363,0.013985
2594,2017/3/31,0.01047,0.007158,0.012255
2594,2017/6/30,0.024262,0.014492,0.038465
2594,2017/6/30,0.011854,0.004465,0.007815
2594,2017/9/30,0.037595,0.022349,0.060583
2594,2017/9/30,0.016348,0.004989,0.008961
2594,2017/12/31,0.049108,0.030429,0.08524
2594,2017/12/31,0.020116,0.005107,0.009211
2594,2018/3/31,0.006213,0.001467,0.004398
2594,2018/3/31,0.009327,0.00616,0.011701
2594,2018/6/30,0.013255,0.004734,0.014655
2594,2018/6/30,0.011657,0.003663,0.007634
2594,2018/9/30,0.025067,0.011594,0.035828
2594,2018/9/30,0.016983,0.003245,0.006519
2594,2018/12/31,0.039621,0.019085,0.05895
2594,2018/12/31,0.027839,0.004493,0.009129
2594,2019/3/31,0.011255,0.004517,0.014466
2594,2019/3/31,0.008278,0.002327,0.005053
2594,2019/6/30,0.016865,0.008357,0.026819
2594,2019/6/30,0.017231,0.005862,0.013071
2594,2019/9/30,0.020956,0.009648,0.030769
2594,2019/9/30,0.021115,0.004155,0.009444
2594,2019/12/31,0.027909,0.01086,0.03437
2594,2019/12/31,0.026534,0.004103,0.009387
2594,2020/3/31,0.006909,0.001664,0.005137
2594,2020/3/31,0.006293,0.001411,0.003317
2594,2020/6/30,0.023353,0.012121,0.036721
2594,2020/6/30,0.012322,0.00275,0.006284
2594,2020/9/30,0.044522,0.024981,0.075147
2594,2020/9/30,0.018855,0.003569,0.008079
2594,2020/12/31,0.053674,0.030323,0.094667
2594,2020/12/31,0.023893,0.004336,0.010026
2594,2021/3/31,0.005891,0.002406,0.006661
2594,2021/3/31,0.003719,0.000599,0.001072
2594,2021/6/30,0.014908,0.008543,0.023556
2594,2021/6/30,0.009738,0.002961,0.005155
2594,2021/9/30,0.023399,0.014558,0.042362
2594,2021/12/31,0.025382,0.015971,0.047034
2594,2021/12/31,0.018652,0.007526,0.012016
2594,2022/3/31,0.003177,0.002975,0.008697
2594,2022/6/30,0.011666,0.012258,0.037372
2594,2022/6/30,0.018243,0.01815,0.0239
2594,2022/9/30,0.029859,0.027668,0.09214
2594,2022/12/31,0.049293,0.044864,0.157007
2594,2022/12/31,0.047289,0.04603,0.058983
2594,2023/3/31,0.010035,0.008396,0.035317
2594,2023/6/30,0.022667,0.021087,0.090867
2594,2023/6/30,0.007303,0.008059,0.010339
2594,2023/9/30,0.044387,0.039971,0.170134
2594,2023/12/31,0.061008,0.053424,0.230597
2594,2023/12/31,0.099511,0.101545,0.142446
2594,2024/3/31,0.008139,0.00703,0.031243
2594,2024/6/30,0.025329,0.020667,0.092523
2594,2024/6/30,0.007726,0.008332,0.014323
2594,2024/9/30,0.044807,0.036359,0.164425
2594,2024/12/31,0.069583,0.056857,0.238224
2594,2024/12/31,0.104826,0.108706,0.176237
2594,2025/3/31,0.011433,0.01163,0.042455
2594,2025/6/30,0.019222,0.019683,0.072339
2594,2025/6/30,0.002004,0.006194,0.008803
2714,2010/12/31,,,
2714,2010/12/31,,,
2714,2011/12/31,,,
2714,2011/12/31,,,
2714,2012/12/31,,,
2714,2012/12/31,,,
2714,2013/6/30,,,
2714,2013/6/30,,,
2714,2013/12/31,0.141357,0.113058,0.266046
2714,2013/12/31,0.131306,0.097488,0.197493
2714,2014/3/31,-0.007368,-0.01609,-0.035652
2714,2014/3/31,-0.001227,-0.007706,-0.015016
2714,2014/6/30,-0.00779,-0.02289,-0.051892
2714,2014/6/30,0.000632,-0.010759,-0.021038
2714,2014/9/30,0.022919,0.000757,0.001726
2714,2014/9/30,0.033584,0.015921,0.031805
2714,2014/12/31,0.04985,0.021811,0.050045
2714,2014/12/31,0.044617,0.021977,0.043857
2714,2015/3/31,0.002425,-0.004779,-0.01042
2714,2015/3/31,0.001301,-0.00357,-0.006702
2714,2015/6/30,0.023196,0.010088,0.023842
2714,2015/6/30,0.01596,0.006767,0.013739
2714,2015/9/30,0.076809,0.057288,0.134111
2714,2015/9/30,0.051236,0.036183,0.072158
