"Stkcd","ShortName","Accper","Typrep","Source","F050101B","F050302B","F050404C","F050501B"
"601919","中国远洋","2007-06-30","A","0","0.029222","0.055931","","0.036320"
"601919","中国远洋","2007-06-30","B","0","-0.001861","-0.013153","","-0.005338"
"601919","中国远洋","2007-09-30","A","0","0.047749","0.093043","","0.061033"
"601919","中国远洋","2007-09-30","B","0","-0.005684","-0.033420","","-0.010513"
"601919","中国远洋","2007-12-31","A","0","0.234470","0.518558","0.715051","0.386105"
"601919","中国远洋","2007-12-31","B","0","0.036107","0.095147","412.876326","0.038296"
"601919","中国远洋","2008-03-31","A","0","0.072755","0.118374","","0.106918"
"601919","中国远洋","2008-03-31","B","0","-0.000108","-0.000109","","-0.000068"
"601919","中国远洋","2008-06-30","A","0","0.160377","0.276899","1.101473","0.225651"
"601919","中国远洋","2008-06-30","B","0","-0.001787","-0.001809","536.175441","-0.001124"
"601919","中国远洋","2008-09-30","A","0","0.217020","0.376992","1.191173","0.301756"
"601919","中国远洋","2008-09-30","B","0","-0.002906","-0.001234","704.248596","-0.000756"
"601919","中国远洋","2008-12-31","A","0","0.133024","0.240885","0.300960","0.195107"
"601919","中国远洋","2008-12-31","B","0","0.081480","0.153840","731.156736","0.069502"
"601919","中国远洋","2009-03-31","A","0","-0.025952","-0.070012","0.058179","-0.052888"
"601919","中国远洋","2009-03-31","B","0","-0.001718","-0.003491","809.427476","-0.000999"
"601919","中国远洋","2009-06-30","A","0","-0.029332","-0.084080","-0.171788","-0.075016"
"601919","中国远洋","2009-06-30","B","0","-0.001912","-0.003459","942.225259","-0.001027"
"601919","中国远洋","2009-09-30","A","0","-0.029149","-0.092230","-0.317155","-0.084396"
"601919","中国远洋","2009-09-30","B","0","-0.002700","-0.006047","1050.030916","-0.001561"
"601919","中国远洋","2009-12-31","A","0","-0.040753","-0.134553","-0.145403","-0.126181"
"601919","中国远洋","2009-12-31","B","0","-0.003896","-0.011462","-22.569474","-0.002584"
"601919","中国远洋","2010-03-31","A","0","0.012648","0.019479","-0.052670","0.020216"
"601919","中国远洋","2010-03-31","B","0","-0.001474","-0.013284","-31.388466","-0.001704"
"601919","中国远洋","2010-06-30","A","0","0.036413","0.070219","0.028462","0.067325"
"601919","中国远洋","2010-06-30","B","0","0.005644","0.064050","69.506519","0.007823"
"601919","中国远洋","2010-09-30","A","0","0.055006","0.111317","0.087527","0.106952"
"601919","中国远洋","2010-09-30","B","0","0.004511","0.055181","69.323266","0.006557"
"601919","中国远洋","2010-12-31","A","0","0.064565","0.137569","0.148856","0.128485"
"601919","中国远洋","2010-12-31","B","0","0.011566","0.138112","188.650810","0.015820"
"601919","中国远洋","2011-03-31","A","0","0.000248","-0.001126","0.120399","-0.001097"
"601919","中国远洋","2011-03-31","B","0","-0.001242","-0.017039","217.100436","-0.001586"
"601919","中国远洋","2011-06-30","A","0","-0.008344","-0.028373","0.038632","-0.029655"
"601919","中国远洋","2011-06-30","B","0","0.003619","0.033723","181.695169","0.003484"
"601919","中国远洋","2011-09-30","A","0","-0.016592","-0.054561","-0.032466","-0.060551"
"601919","中国远洋","2011-09-30","B","0","0.002947","0.016959","198.183585","0.001602"
"601919","中国远洋","2011-12-31","A","0","-0.048943","-0.141980","-0.148857","-0.176176"
