Stkcd,ShortName,Accper,ROA,ROCA,ROFA,ROE
2594,1,2008/12/31,0.06336,0.088027,0.110615,0.095645
2594,1,2009/12/31,0.118074,0.242008,0.284845,0.214349
2594,1,2010/12/31,0.066318,0.166276,0.167008,0.137988
2594,1,2011/3/31,0.008666,0.017167,0.01704,0.015105
2594,1,2011/6/30,0.013913,0.019776,0.018593,0.017235
2594,1,2011/9/30,0.019036,0.025809,0.024194,0.022313
2594,1,2011/12/31,0.038077,0.074451,0.074076,0.066517
2594,1,2012/3/31,0.00477,0.0025,0.002412,0.002229
2594,1,2012/6/30,0.008373,0.004845,0.00433,0.004339
2594,1,2012/9/30,0.012052,0.006427,0.005659,0.005773
2594,1,2012/12/31,-0.001458,0.009707,0.008259,0.008817
2594,1,2013/3/31,0.006172,0.006865,0.005955,0.006411
2594,1,2013/6/30,0.015985,0.020925,0.019987,0.021771
2594,1,2013/9/30,0.020569,0.021993,0.023106,0.025258
2594,1,2013/12/31,0.02608,0.027471,0.027573,0.031214
2594,1,2014/3/31,0.005662,0.003073,0.003095,0.003507
2594,1,2014/6/30,0.014836,0.015117,0.019871,0.019599
2594,1,2014/9/30,0.019235,0.016101,0.02153,0.021548
2594,1,2014/12/31,0.024073,0.018164,0.02465,0.025606
2594,1,2015/3/31,0.006577,0.003971,0.005179,0.005275
2594,1,2015/6/30,0.015318,0.015891,0.021042,0.021213
2594,1,2015/9/30,0.03545,0.045716,0.073241,0.06691
2594,1,2015/12/31,0.045382,0.057675,0.096952,0.087101
2594,1,2016/3/31,0.012785,0.017578,0.027575,0.024337
2594,1,2016/6/30,0.030118,0.041955,0.0706,0.063657
2594,1,2016/9/30,0.043612,0.056404,0.112096,0.072699
2594,1,2016/12/31,0.053702,0.070041,0.146199,0.0989
2594,1,2017/3/31,0.009577,0.01007,0.020447,0.013871
2594,1,2017/6/30,0.023578,0.026047,0.054538,0.037873
2594,1,2017/9/30,0.035352,0.037671,0.084247,0.0588
2594,1,2017/12/31,0.044554,0.047884,0.1137,0.082007
2594,1,2018/3/31,0.006145,0.002525,0.005975,0.004391
2594,1,2018/6/30,0.012798,0.007812,0.019318,0.014728
2594,1,2018/9/30,0.024153,0.018727,0.049838,0.035862
2594,1,2018/12/31,0.037944,0.030867,0.081417,0.058592
2594,1,2019/3/31,0.011135,0.00766,0.02021,0.014297
2594,1,2019/6/30,0.016639,0.014432,0.03647,0.026488
2594,1,2019/9/30,0.020762,0.016976,0.040483,0.030331
2594,1,2019/12/31,0.027832,0.019809,0.042854,0.033847
2594,1,2020/3/31,0.006986,0.003171,0.006598,0.00513
2594,1,2020/6/30,0.023235,0.021896,0.049103,0.035461
2594,1,2020/9/30,0.044391,0.045483,0.092156,0.072235
2594,1,2020/12/31,0.052957,0.053886,0.110177,0.093306
2594,1,2021/3/31,0.005591,0.003823,0.009382,0.005742
2594,1,2021/6/30,0.014177,0.014018,0.033338,0.020281
2594,1,2021/9/30,0.021037,0.022683,0.059787,0.036153
2594,1,2021/12/31,0.021316,0.023883,0.064802,0.038057
2594,1,2022/3/31,0.00307,0.005232,0.014705,0.00865
2594,1,2022/6/30,0.01082,0.021543,0.056248,0.037021
2594,1,2022/9/30,0.02529,0.046173,0.098563,0.088735
2594,1,2022/12/31,0.039407,0.073558,0.134312,0.145919
2594,1,2023/3/31,0.009547,0.01702,0.029579,0.034659
2594,1,2023/6/30,0.020802,0.043005,0.063166,0.087727
2594,1,2023/9/30,0.039779,0.081148,0.107258,0.158268
2594,1,2023/12/31,0.052673,0.103747,0.135745,0.208319
2594,1,2024/3/31,0.008149,0.016289,0.020645,0.03079
2594,1,2024/6/30,0.025206,0.047291,0.061354,0.091282
2594,1,2024/9/30,0.042324,0.072487,0.099806,0.155492
2594,1,2024/12/31,0.064973,0.112226,0.158559,0.209313
2594,1,2025/3/31,0.011044,0.023032,0.034999,0.038362
2594,1,2025/6/30,0.018507,0.041059,0.05712,0.065532
2714,2,2010/12/31,0.112962,0.208225,0.270312,0.210271
2714,2,2011/12/31,0.267304,0.564251,0.70144,0.489351
2714,2,2012/12/31,0.179126,0.461467,0.388845,0.321463
2714,2,2013/6/30,0.034173,0.061385,0.066373,0.073478
2714,2,2013/12/31,0.117444,0.244991,0.234363,0.241742
2714,2,2014/3/31,-0.006912,-0.035145,-0.042073,-0.029814
2714,2,2014/6/30,-0.007214,-0.048931,-0.060813,-0.043628
2714,2,2014/9/30,0.020977,0.001714,0.00197,0.001443
2714,2,2014/12/31,0.044497,0.053089,0.053839,0.041165
2714,2,2015/3/31,0.002365,-0.014611,-0.012511,-0.010474
2714,2,2015/6/30,0.020848,0.025582,0.022539,0.023649
2714,2,2015/9/30,0.06655,0.155302,0.116123,0.126103
2714,2,2015/12/31,0.102348,0.237034,0.200199,0.169179
2714,2,2016/3/31,0.050523,0.136878,0.112786,0.094591
2714,2,2016/6/30,0.123557,0.416215,0.271069,0.233419
2714,2,2016/9/30,0.171896,0.563322,0.360022,0.345377
2714,2,2016/12/31,0.192875,0.624473,0.357216,0.410125
2714,2,2017/3/31,0.05086,0.171721,0.095554,0.107236
2714,2,2017/6/30,0.076974,0.215225,0.145763,0.13173
2714,2,2017/9/30,0.106663,0.327416,0.199564,0.186375
2714,2,2017/12/31,0.11136,0.270589,0.223227,0.185727
2714,2,2018/3/31,0.009472,0.014031,0.011991,0.010568
2714,2,2018/6/30,0.00651,-0.009816,-0.006405,-0.006633
2714,2,2018/9/30,0.026883,0.038437,0.027614,0.0285
2714,2,2018/12/31,0.035667,0.053992,0.038988,0.038524
2714,2,2019/3/31,-0.012108,-0.055974,-0.039941,-0.042343
2714,2,2019/6/30,0.005426,-0.01695,-0.010258,-0.011117
2714,2,2019/9/30,0.051585,0.120939,0.093274,0.072594
2714,2,2019/12/31,0.129464,0.323415,0.335898,0.199815
2714,2,2020/3/31,0.065676,0.146031,0.203823,0.111076
2714,2,2020/6/30,0.136783,0.320069,0.384491,0.244707
2714,2,2020/9/30,0.227148,0.58888,0.57047,0.392465
2714,2,2020/12/31,0.25329,0.77991,0.518956,0.459491
2714,2,2021/3/31,0.058933,0.203216,0.114659,0.10785
2714,2,2021/6/30,0.078584,0.291971,0.134306,0.154159
2714,2,2021/9/30,0.066393,0.208163,0.109074,0.135955
2714,2,2021/12/31,0.055218,0.15668,0.07673,0.111343
2714,2,2022/3/31,-0.027577,-0.105924,-0.057058,-0.089886
2714,2,2022/6/30,-0.033094,-0.139197,-0.071042,-0.121339
2714,2,2022/9/30,0.021085,0.032256,0.01758,0.025602
2714,2,2022/12/31,0.091759,0.238635,0.140406,0.169562
2714,2,2023/3/31,-0.002391,-0.017674,-0.01117,-0.01389
2714,2,2023/6/30,-0.007006,-0.045164,-0.025544,-0.036386
2714,2,2023/9/30,0.002958,-0.028303,-0.015219,-0.021956
2714,2,2023/12/31,-0.005711,-0.06555,-0.037163,-0.056295
2714,2,2024/3/31,-0.008321,-0.037844,-0.022194,-0.034338
2714,2,2024/6/30,0.01345,0.016405,0.009403,0.014005
2714,2,2024/9/30,0.070572,0.17707,0.104579,0.141274
2714,2,2024/12/31,0.116558,0.308635,0.177282,0.24408
2714,2,2025/3/31,0.026978,0.062628,0.043624,0.05713
2714,2,2025/6/30,0.06533,0.168979,0.103882,0.131695
600030,3,1999/12/31,0.050851,0.034439,2.301563,0.121535
600030,3,2000/12/31,0.060213,0.04952,5.271389,0.281145
600030,3,2001/12/31,0.044594,0.035092,2.327093,0.189769
600030,3,2002/6/30,0.010619,0.009834,0.509126,0.046049
600030,3,2002/12/31,0.007754,0.006532,0.290872,0.021517
600030,3,2003/3/31,0.001868,,0.094935,0.006591
600030,3,2003/6/30,0.011501,,0.473301,0.02951
600030,3,2003/9/30,0.014199,,0.508888,0.029752
600030,3,2003/12/31,0.035014,,1.23407,0.06668
600030,3,2004/3/31,0.001893,,0.058414,0.003003
600030,3,2004/6/30,0.005993,,0.154773,0.010958
600030,3,2004/9/30,0.008769,,0.259986,0.017704
600030,3,2004/12/31,0.016333,,0.428547,0.03121
600030,3,2005/3/31,0.000775,,0.020714,0.001457
600030,3,2005/6/30,0.005234,,0.176906,0.01216
600030,3,2005/9/30,0.010917,,0.403121,0.025712
600030,3,2005/12/31,0.018679,,0.7098,0.048172
600030,3,2006/3/31,0.005438,,0.180916,0.014416
600030,3,2006/6/30,0.017774,,1.208149,0.059252
600030,3,2006/9/30,0.02609,,1.844714,0.085675
600030,3,2006/12/31,0.051073,,4.02267,0.182328
600030,3,2007/3/31,0.016961,,1.958523,0.08913
600030,3,2007/6/30,0.042017,,4.973672,0.259265
600030,3,2007/9/30,0.061054,,7.800929,0.18999
600030,3,2007/12/31,0.10495,,15.060837,0.250739
600030,3,2008/3/31,0.016294,,3.097635,0.050438
600030,3,2008/6/30,0.027962,,6.11401,0.095828
600030,3,2008/9/30,0.054171,,7.53346,0.11723
600030,3,2008/12/31,0.069848,,9.260216,0.13994
